predicted_train_x;predicted_train_y
14.992498;0.016370013
25.402437;-0.46614242
14.28988;0.47443852
10.837504;-0.1057442
9.864894;-0.24632363
7.6601057;0.34500486
12.815754;-0.09927325
7.7676888;0.07479374
9.738141;0.114071384
10.851331;-0.023271486
9.432509;0.18419181
10.442796;-0.112525344
12.673947;-0.07262196
12.262681;-0.21749999
13.46729;0.13781999
12.494282;0.06925838
9.688587;-0.0004547378
18.395061;0.046171203
8.81185;0.093957916
10.937012;0.4498564
11.023156;-0.061603233
10.609954;0.4580455
14.495536;0.07221727
7.1557436;0.27109182
10.669238;0.3613865
10.127919;-0.13265686
12.37275;-0.14807154
8.914031;-0.14725496
12.783598;0.55388516
12.5153475;0.019636884
8.522244;0.03347145
16.779938;0.6363286
7.9171963;-0.83947617
9.718877;0.15172873
10.261785;0.5537021
12.854859;0.092619464
8.656383;0.22780786
13.396113;0.12672879
8.613563;-0.13824894
12.880919;0.010117517
11.101891;0.046677843
7.152132;-0.3530749
9.976674;0.8455126
10.37028;0.07522912
9.663451;0.948695
9.429406;0.17000107
9.777188;0.6013693
8.256007;0.59723604
6.9069386;0.06941588
12.114535;-0.086724654
11.880616;-0.0077140173
12.496458;-0.14545803
13.380342;0.27826798
11.436217;0.37450784
12.58148;-0.15103026
12.430937;0.0005189637
10.20882;0.059383437
11.960004;0.12409802
9.695806;0.11629854
10.235173;-0.010111733
8.77261;-0.2059234
15.761462;-0.10547508
8.940049;-0.102863535
11.97816;0.26730138
13.000001;0.035456285
8.628013;1.1977528
11.0321665;-0.5660652
14.97286;0.11768554
10.387006;-0.011933728
8.490434;-0.05593495
9.012605;-0.2159995
12.214513;-0.22490032
8.819097;0.052982196
7.317054;-0.40798035
10.471775;-0.012072197
10.048255;-0.04151191
12.330129;-0.24402837
15.017356;-0.4939219
11.301895;0.30889872
10.579207;-0.081200585
11.115624;-0.11531241
14.346174;-0.02161108
13.037856;-0.15518285
6.925929;-0.24043204
10.393609;-0.093621224
11.287232;0.11909868
8.900474;-0.6000542
10.222564;0.24499781
11.681079;-0.0005968651
11.4325;0.17917521
12.480611;-0.08739348
9.6235;0.05792041
11.914487;0.1529454
16.200035;-0.16807887
10.132432;0.12376021
10.883861;0.04374014
19.054909;0.4242873
9.750834;0.22160585
11.505244;-0.07724218
10.048098;0.16883333
10.272216;-0.03187208
11.127116;-0.11002247
13.097026;-0.16414534
18.181404;-0.07321365
9.10846;-0.14844148
9.521447;-0.03820716
12.088534;0.04564126
8.685296;0.47461453
10.37651;0.4131126
12.347153;-0.067809775
12.2929945;0.08438595
12.214934;-0.46131346
11.02736;-0.06243132
12.380437;-0.61802316
9.481854;0.19456525
10.579398;0.115997896
9.55333;-0.06044452
10.912509;0.5582431
9.6872225;0.05881934
10.946782;0.43311244
8.252648;0.34180844
13.302875;-0.19807415
9.664201;0.2538882
16.09537;0.094276786
15.831681;-0.13172446
9.852356;-0.14391948
12.0048685;0.18356587
11.937848;-0.0067949733
10.965693;0.31562707
12.7436905;0.04890926
10.063276;-0.030093655
13.349495;-0.24297498
12.352475;0.0823579
10.331636;0.0067542354
16.215296;0.20756312
11.53983;0.012461201
7.8358164;0.34679216
13.200647;-0.009948879
10.033212;0.061333016
12.192342;-0.14485873
9.913785;0.07929905
14.447148;0.083277464
9.468863;-0.0517738
10.153294;0.04615523
9.49244;0.12071352
15.960715;0.036525175
8.206189;0.07742126
11.427653;0.032628253
8.414611;1.1174048
8.287382;0.21387637
10.391824;-0.1328521
12.086683;0.21392356
10.331523;-0.07091071
15.850764;-0.18174605
8.293075;1.6920824
14.814658;0.29328826
11.116913;-0.1268319
7.859653;0.049279705
10.063148;-0.22477894
10.024276;0.040346786
11.626782;-0.09843348
10.824393;0.036514983
8.698189;0.14825441
10.398783;0.060560435
12.542111;0.07001875
11.834971;-0.2212197
10.134832;0.25030336
13.307335;0.012555615
12.135215;0.11928944
9.684642;0.53930604
12.746663;-0.022832647
11.221151;0.09686653
15.439023;-0.119606346
8.288314;0.009163574
13.313422;0.17543699
10.799518;-0.3155984
11.413243;-0.043620452
8.974048;-0.21246473
13.593995;-0.058970585
10.424187;0.562179
8.839837;0.21539326
12.506553;0.035269484
13.624433;0.026894197
8.719409;0.37436107
9.02728;-0.25256306
13.114132;-0.22576587
10.476514;0.06297891
12.759424;0.20455553
12.327136;0.12577154
15.630248;0.76249295
10.254298;0.027820155
10.352214;0.38204387
6.3931417;0.16538821
9.678018;0.16822474
10.603006;-0.04520984
12.123605;0.019531354
9.914191;0.1431291
